index,smiles,affinity_6LUQ_H-gail,affinity_7E2Y_H-gail
81,Cc1cc(-c2csc(NCCN(C)C)n2)ccc1C(=O)NO,-8.298,-7.591
82,COc1cc(OC)cc(N(CCN2CCCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,-8.4,-8.588
83,Oc1nc2ccccc2n1CCCCN1CC=C(c2ccccc2)CC1,-10.03,-9.308
84,CC1c2cc(Cl)ccc2NC(=O)N1CC1CCC(F)CC1,-8.863,-9.041
85,COc1ccccc1N1CCN(CCCCN2CC(=O)c3cc(Cl)c(Cl)cc32)CC1,-8.998,-9.222
86,O=[N+]([O-])N1CCC(F)(N2CCN(c3ccc(OC(F)(F)F)cc3)CC2)CC1,-9.169,-8.624
87,COc1ccc(CCNCCOc2cccc3c2CCCC3)cc1,-8.879,-8.52
88,O=Cn1c(=O)n(CCN2CCN(c3ccccc3[N+](=O)[O-])CC2)c2ccccc21,-7.493,-9.234
89,Cc1nc(OCC2CC2c2ccc(C)c(N(C)C(=O)c3ccc(C(F)(F)F)cc3)c2)no1,-9.745,-9.451
90,CN1CCN(c2cccc3ccoc23)CC1,-6.798,-6.895
91,CN1CCN(C2CC(c3ccccc3)c3ccc(F)cc32)CC1(C)C,-7.745,-10.12
92,Oc1ccc2c(NCCCCCN3CCC(c4cccc5c4OCCO5)CC3)ccc(CCN3CCN(CCCCNc4ccccc4)CC3)c2n1,-10.64,-10.48
93,CC1COc2ccc(cc2)CCc2cc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)ccc2N1CCCN1CCN(C)C1=O,-11.39,-13.13
94,Oc1ccc(-c2nc3cccc(N(CCCN4CCNCC4)CC4CC4)c3n2CCN2CCCC2)cc1,-7.12,-8.574
95,Cc1ccc(S(=O)(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,-9.396,-9.04
96,CCCN1CCCC12COc1cncc(O)c1C2C,-6.865,-6.741
97,CC(C)C1(O)CCN(CC2CC2c2cccc(C3CCN(CCn4ccnc4)CC3)c2)CC1,-9.672,-9.69
98,CC(C)C(F)CN1CN(c2ccc3cc[nH]c3c2)CCC1(C)c1ccc(F)c(Cl)c1,-9.175,-8.6
99,COc1ccc(-n2c(C)cc(I)c2Cl)cc1,-6.577,-7.183
100,CCCCCCc1cc2c(N)nc(S)nc2s1,-6.882,-6.144
101,CC1COCC1=Cc1ccc2c(c1)C=C(N1CCN(C)CC1)CC2,-10.36,-9.236
102,CCC(C)CN1CN(c2ccccc2Cl)C2(CSc3ccccc3)CCC12,-7.667,-7.932
103,CCCc1ccccc1N1CCN(CCCl)CC1,-6.729,-6.903
104,COc1cccc(F)c1CCN1CCC(NS(=O)(=O)c2cccc(C(=O)c3ccc(Cl)cc3)c2)CC1,-10.85,-10.25
105,O=C(NC1CCC(F)(F)CC1)c1cnn2ccc(OCCOCCF)cc12,-8.54,-8.08
106,COc1ccccc1N1CCN(CCn2c(O)nc3ccccc3c2=O)CC1,-9.633,-9.559
107,Fc1ccc(F)c(CN2CCN(CCc3c[nH]c4ccccc34)CC2)c1,-10.08,-9.823
108,Nc1nc(Cl)c2c(n1)CCN(C(=O)c1ccc(-n3cccn3)cc1)C2,-9.006,-8.887
109,COc1ccccc1N1CCN(CCSc2nc3ccccc3s2)CC1,-8.729,-8.56
110,Fc1ccc(CCCN2CCN(c3ccccc3Br)CC2)cc1,-8.961,-8.904
111,O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2ccccc2)CC1,-10.31,-9.468
112,NCCc1ccccc1N1CCN(CCN(c2ccccc2Cl)c2cccc(Cl)c2Cl)CC1,-8.81,-8.619
113,COc1ccccc1N1CCN(CCCCCn2c(O)nc3ccccc3c2=O)CC1,-9.604,-8.64
114,CCOc1ccccc1N1CCN(CCCn2c(C)cc3ccccc32)CC1,-9.317,-9.247
115,COc1cccc(N2CCN(CC=CCN3C(=O)c4ccccc4C3=O)CC2)c1,-9.951,-9.533
116,Clc1cccc(N2CCN(c3cccc4nc(N5CCN6CCCCC6C5)ccc34)CC2)c1Cl,-11.32,-11.06
117,Cc1ccccc1N1CCN(CCCCc2ccc(F)cc2)CC1,-9.425,-9.023
118,CC1CN(C)Cc2ccc3c(c21)CCc1cccc(O)c1-3,-9.662,-9.532
119,O=C(COc1ccccc1)N1CCCCC1c1cccc(C(F)(F)F)c1,-8.867,-9.204
120,COc1cnc(SCCN2CCN(c3cccc4ccccc34)CC2)nc1,-8.762,-8.704
121,CN1CCCC1COc1cccc2ccccc12,-8.775,-7.928
122,COc1ccccc1N1CCN(C2CCC(c3c[nH]c4ccc(F)cc34)CC2)CC1,-10.08,-11.2
123,COc1ccccc1N1CCN(CCCCCc2ccc3c(c2)NC(=O)CC3)CC1,-9.568,-9.324
124,CCOc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccco2)CC1,-8.511,-8.307
125,c1cc(OCCN2CCCC2)cc(C2CCN(CCCc3c[nH]c4ccccc34)CC2)c1,-10.32,-10.48
126,C=CCNC1CCc2c1cccc2S(=O)(=O)N1CCC(C)CC1,-8.677,-8.206
127,CCCN(CCN1CCN(c2ccccn2)CC1)C1CCc2c(O)cccc2C1,-9.934,-9.116
128,Cc1ccc2c(c1)sc1c(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)cn(-c3ccccc3)c12,-12,-9.492
129,CCCN1CCCCC1CNC(=O)c1ccc(C(F)(F)F)cc1,-8.567,-8.418
130,O=C1C2CCCCN2CCN1CCCCN1CCN(c2cccc3sccc23)CC1,-8.777,-9.059
131,O=[N+]([O-])c1ccc2cc(OCCCCCCc3c[nH]c4ccc(Cl)cc34)ccc2c1,-9.574,-9.609
132,CCC1COCC(C(=O)NC2CC3CCCC3C2)O1,-8.304,-7.413
133,Cc1cc(OCCCN2CCC(c3nc4ccccc4s3)CC2)cc(C)c1F,-10.1,-9.911
134,CCc1cccc(N2CCN(CCn3c(-c4ccc(F)cc4)c(-c4ccc(C)cc4)[nH]c3=O)CC2)c1,-10.44,-10.47
135,CCCCCCCCCN(CCCCCSc1ccccc1)C1CCc2ccc(O)cc2C1,-8.036,-8.556
136,CN1CCN(c2cccc3[nH]cc(S(C)(=O)=O)c23)CC1,-5.748,-6.957
137,N#Cc1cc(Cl)cc(S(=O)(=O)N2CCC(c3ccccc3)CC2)c1Cl,-8.363,-9.325
138,CCCN(CCC)C1CCc2c(ccc3cc(=O)oc-3c2C)C1,-9.036,-8.744
139,OCCN1CCC(n2cc(Br)c3sc4c(c32)CNC4)CC1,-6.452,-8.135
140,NCCOc1ccccc1CN1CCN(c2cccc([N+](=O)[O-])c2)CC1,-8.208,-8.222
141,C[N+]1(Cc2ccc(F)cc2)CCC(c2ccccc2)C1,-8.704,-8.216
142,Cc1ccc(CNc2c(Cl)cccc2Cl)c2ccc(OCCCN3CCCC3)cc12,-9.044,-8.921
143,O=C(NCCN1CCN(c2ncccn2)CC1)c1ccc(Cl)cc1,-8.524,-8.617
144,O=C(NCCCCCO)c1cc(O)cc2oc3c(O)ccc(I)c3c12,-6.701,-8.532
145,COc1ncc(N2CCc3ncnc(N4CCN(C)CC4)c3C2)cc1C(F)(F)F,-7.77,-9.62
146,OC(CCN1CCN(c2cccc3c2OCO3)CC1)c1csc2ccccc12,-9.359,-10
147,CCCCCCCCN1CNC2(CCCC2)c2ccc(Cl)cc21,-6.878,-8.268
148,Cc1c(F)cccc1Oc1c(Br)c(O)cc2sc(C(N)=O)cc12,-7.755,-8.117
149,CC(C)C1Cc2ccccc2CN1C(=O)c1cccc(C(N)=O)c1,-8.582,-9.447
150,COc1ccccc1N1CCN(CCCCNC(=O)c2cc(C)nc3cccc(N(C)C)c23)CC1,-8.68,-8.919
151,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,-7.691,-9.708
152,CN(C)C1Cc2cccc3[nH]cc(c23)C1,-7.661,-7.095
153,COc1cccc2c1CCC1CCN(CC=Cc3cc[nH]n3)CC1C2,-13.4,-13.18
154,COc1ccccc1N1CCN(CCCCN2C(=O)C3CCN3C2=O)CC1,-8.687,-8.597
155,COc1cccc2[nH]cc(C3=CCN(C(C)C)CC3)c12,-7.932,-8.232
156,O=C(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cc2ccccc2s1,-10.07,-10.01
157,COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCCC1N2Cc1ccccc1,-9.567,-8.439
158,COc1ccccc1OCCNCC1=NCCN1C,-7.272,-6.512
159,COc1cccc2c1CCCC2CNCCCN1CCN(c2cccc(Cl)c2)CC1,-9.013,-8.938
160,O=C1c2ccc(-c3cncnc3)cc2C(=O)N1CCCCN1CCC(c2c[nH]c3ccccc23)CC1,-12.02,-10.59
161,O=S(=O)(NC1CCN(Cc2cccc(F)c2F)C1)c1cccs1,-8.872,-8.44
163,CN=C(O)NCCCCCN1CCN(c2ccncc2)CC1,-7.446,-7.287
164,COc1ccccc1CCCCNCC1COC(c2ccccc2)(c2ccccc2)O1,-9.586,-8.097
165,OC1Cc2ccccc2C(O)(c2ccccc2F)O1,-6.943,-8.513
166,O=C1C2CCCCN2C(=O)N1CCCCNC1CCCc2ccccc21,-9.564,-8.993
167,COc1ccccc1N1CCN(CCCCNC(=O)C23CC4CC(CC(C)(C4)C2)C3)CC1,-8.904,-8.509
168,CC(C)c1ccccc1N1CCN(Cc2ccc(CN3CCCCC3=O)[nH]2)CC1,-9.637,-9.898
169,NC(=O)c1ccc2c(c1)CCN(CCCCc1c[nH]c3ccc(C(N)=O)cc13)CC2,-13.09,-13.4
170,Fc1ccccc1N1CCN(CCC(=NC2CCCCC2)c2ccccc2)CC1,-8.878,-8.449
171,CNC(=O)C(NC(=O)C(CCCNCC(=O)OC(C)CF)CC(C)NC(=O)C1CCCC1)C(C)(C)C,-6.637,-7.445
172,O=C1c2ccccc2C(=O)N1C1CCN(Cc2cccc(C(F)(F)F)c2)CC1,-10.55,-9.426
173,c1ccc(Oc2ccccc2CCNCCOc2cccc3[nH]cc-3n2)cc1,-8.967,-8.945
174,CCCCN1CCCC1CNC(=O)c1cc(Br)cc(OC)c1OC,-7.703,-7.319
175,CCCN1CC(C)N(C(=O)c2cc(F)cc(Cl)c2)CC1C,-7.216,-7.853
177,COc1ccc(N2CCN(CCn3ccc(N4CCCC4)cc3=O)CC2)cc1,-9.4,-8.879
178,CN(Cc1ccccc1)Cc1c[nH]c2ccc(O)cc12,-8.555,-7.332
179,COc1ccccc1N1CCN(CCCCn2c(N)c3c(c2O)C(=O)N(C)CS3(=O)=O)CC1,-8.27,-8.634
180,O=S1(=O)NC(CCc2ccccc2)CCN1c1ccccc1,-9.909,-9.68
181,Cc1cc(OCCCc2coc(-c3nccs3)c2C)ccc1CCN1CCCC1,-9.132,-8.787
182,CSc1c(C(=O)NCCN2CCN(c3ccccn3)CC2)csc1-c1ccccc1,-9.241,-9.668
183,Cn1c(CCCCCc2ccccc2)nc2cccc(CCN3CCN(c4cccc(Cl)c4)CC3)c2c1=O,-10.67,-10.46
184,Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5CCO)CC3)cccc2n1,-10.5,-10.14
185,CC1CCCN1CCCOc1ccc(-c2ccc(=O)n(-c3ccccc3)c2)cc1,-10.31,-9.853
186,COc1ccccc1N1CCN(CCCCC(=O)c2ccc(F)cc2)CC1,-9.637,-9.326
187,COc1cccc(N2CCN(CCCCN3CCCCC4(NC4=O)C3=O)CC2)c1,-11.87,-11.76
188,COc1ccccc1N1CCN(CCCCN2C(=O)C3CCCN3C2=O)CC1,-8.801,-8.872
189,Oc1cccc2c1OCC(CC=Cc1ccc3c(c1)C=C1C=CC=S13)C2,-10.89,-9.863
190,Oc1nc2ccccc2n1CCN1CCN(c2ccccn2)CC1,-9.013,-8.625
191,CCN(C)C(=O)c1ccccc1CC1=CCCN1C,-6.699,-6.718
192,c1ccc(OCCN2CC3CCC(C3)C2)cc1,-7.325,-6.936
193,CC(=O)N1CCc2c(cccc2OCCN2CCN(c3ccccn3)CC2)C1,-10.18,-9.407
194,Oc1c2ccccc2nn1CCCCCN1CCN(c2nsc3ccccc23)CC1,-9.753,-9.436
195,CN1CCC(Oc2ccc3cc(-c4ccc(CO)nc4)ccc3c2)CC1,-10.48,-8.248
196,COc1ccccc1N1CCN(CCCCNC(=O)c2cc(=O)n3ccccc3n2)CC1,-9.868,-9.105
197,CCCN(CCN1CCN(c2ccccn2)CC1)C1Cc2ccc(O)cc2C1,-9.713,-8.475
198,Fc1ccc2[nH]cc(CCCCN3CCN(c4ccccc4Cl)CC3)c2c1,-10.4,-9.821
199,COc1ccccc1N1CCN(CCNC(=O)c2cc(C)nc3c(C)c(C)sc23)CC1,-9.595,-9.362
200,CN1CCc2cc(O)ccc2C2c3cccc4[nH]cc(c34)CC21,-13.37,-14.36
201,c1cnc(N2CCN(CCCCc3nc(-c4ccncc4)c[nH]3)CC2)nc1,-8.971,-8.524
202,O=S(=O)(NC1CCC(O)C1)c1ccc(OCC(F)(F)F)cc1C12CCC3CC(C1)C3C2,-9.461,-8.323
203,CCN1CCc2cc(OCCCN3CCC4(CCc5c(cccc5C(N)=O)O4)CC3)ccc2C1,-10.96,-10.31
204,O=C(CCCCN1CCN(c2ccccn2)CC1)c1cccc2c1OCCO2,-9.77,-9.116
205,CC(=O)c1ccc(C)c(Nc2cc3c(cc2OCCF)Cc2c-3nc(CN3CCCCC3)n2-c2ccc(Br)cc2)c1,-10.99,-10.37
206,COc1ccccc1N1CCN(CCCCCC(=O)c2cccnc2)CC1,-8.643,-8.088
207,Fc1ccc(Oc2ccccc2F)c(C2COCC(c3ccccc3)(c3nc4ccccc4[nH]3)O2)c1,-9.11,-10.1
208,OC1(c2ccc(Cl)cc2)CC2=Cc3ccccc3CC21,-10.67,-9.134
209,COc1ccccc1N1CCN(CCS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1,-10.26,-10.28
210,CCOc1ccccc1N1CCN(CCCSc2nc3cc(Cl)ccc3s2)CC1,-8.686,-8.271
211,COc1ccccc1N1CCN(CCCCNC(=O)c2cnc3ccccc3c2)CC1,-9.783,-9.285
212,COc1ccccc1N1CCN(CCCCC(=O)c2ccccc2)CC1,-9.368,-8.782
213,N=C(N)c1ccc(CNC(=O)C2Cc3ccc(O)cc3CN2)cc1,-9.147,-9.198
214,CCc1ccc2c(C(=O)N3CCN(C)CC3)c(O)c(O)nc2c1,-7,-8.029
215,Fc1cccc2c(CCNCCN3CCc4cccn4C3)csc12,-9.196,-8.423
216,CCCN1CCC2Cc3c([nH]c4ccccc34)CC2C1,-9.823,-8.598
217,COc1ccc2c(c1)C1CCN(CC3CC3c3ccccc3)CCN1CC2,-13.69,-13.95
218,O=C(NC1CC2CCC(C1)N2Cc1csc2ccccc12)c1ccc(Cl)cc1,-10.5,-9.529
219,CC(C)Oc1ccccc1OCCNCC1COC(c2ccccc2)(c2ccccc2)O1,-8.391,-9.134
220,CCCOc1cccc2c(CCC)c[nH]c12,-7.047,-6.71
221,OC(CCN1CCN(CCCc2c[nH]c3ccc(Br)cc23)CC1)c1csc2ccccc12,-10.02,-9.385
222,CCCc1c(OC)ccc2c1OC(=O)C(=O)CC2,-11.74,-11.77
223,Oc1nc2ccccc2n1CCCCN1CC=C(c2ccc(F)cc2)CC1,-9.726,-9.574
224,Cc1ccccc1OCC1(O)CCN(CC2Cc3ccccc3Oc3ccccc32)CC1,-15.36,-13.87
225,O=C1C2C3C=CC(C3)C2C(=O)N1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,-9.617,-9.91
226,CCOc1ccc2[nH]cc(CCN3CCN(c4nsc5ccccc45)CC3)c2c1,-10.2,-9.741
227,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,-9.324,-8.132
228,O=C(N1CCC(CCN2CCC(c3ccccc3)CC2)CC1)C(F)(F)C(O)Cc1ccc(F)cc1,-11.25,-10.93
229,O=C1c2c(c3c4ccccc4n(OCCCN4CCCCCC4)c3c3ccncc23)CCN1CCCCN1CCCCC1,-11.72,-12.13
230,COc1cccc2c1CCCC2CN(C)CCc1ccsc1,-7.879,-7.727
231,Fc1ccc(N2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,-9.652,-9.435
232,CCCc1ccccc1N1CCN(CCCNC(=O)c2ccccc2C(=O)c2ccccc2)CC1,-8.834,-9.528
233,CNC1CCc2c(-c3noc(C)n3)cccc21,-7.69,-7.829
234,O=C(NC1CC2CCCC1N2CCc1ccc(F)c(Cl)c1)c1ccc(F)cc1,-9.769,-9.477
235,O=C(CCCN1CCC(c2ccc3c(c2)OCO3)CC1)NCCc1c[nH]cn1,-9.29,-8.578
236,COc1ccccc1CCN1CCN(Cc2cc3ccccc3o2)CC1,-9.06,-8.675
237,COc1ccccc1N1CCN(CCN=C2C(=O)c3ccccc3CCN2C)CC1,-12.83,-13.45
238,NC1CCc2ccccc2C1NC(=O)C(=O)NC1Cc2ccccc2C1,-10.27,-9.873
239,O=C1CC(c2ccccc2)c2cccc(OCCN3CCN(CC4CCCC4)CC(Cc4c[nH]c5ccccc45)c4ccccc43)c21,-13.77,-14.75
240,Cc1cccc(CN2CCN(c3ncccn3)CC2)c1,-7.959,-8.25
241,CC1CC(=O)Nc2ccc3c(c21)CN(c1ccccc1Cl)C(=O)N3C,-8.138,-10.72
242,CN1CCN(Cc2ccc3c(C(=O)NCCc4ccc(F)cc4)c(N4CCN(C)CC4)n(CCF)c3c2)CC1,-7.724,-9.089
243,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(C)s2)CC1,-8.675,-8.334
244,Fc1ccc(Oc2ncccc2C2CC2)nc1,-6.999,-7.075
245,COc1ccc(S(=O)(=O)N2CCCCCC2)cc1,-11.28,-11.12
246,CN1CCC(c2c(-c3ccccc3)[nH]c3ccc(F)cc23)CC1,-7.851,-8.768
247,COc1ccccc1OCCNCCCOc1ccccc1OCCN1CCCS1,-7.334,-7.353
248,CCN1CCc2cccc3c2C1Cc1cccc(O)c1-3,-6.953,-8.686
249,Cc1ccccc1Oc1ccccc1N1CCN(CC(O)CCN2CCCCC2)CC1,-9.564,-8.987
250,Fc1ccc(-c2n[nH]c(-c3cccc(F)c3)c2-c2cncnc2)cc1,-9.342,-8.021
251,Cc1ccc2c(N3CCN(CCCc4cccc5sc(C)cc45)CC3)cccc2n1,-10.35,-10.47
252,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C12CC3CC(CC(C3)C1)C2,-8.647,-9.39
253,COc1ccccc1N1CCN(CCCCNC(=O)CSC2CCCCC2)CC1,-8.19,-8.655
254,O=C1N(CCN2Cc3ccc(F)cc3C2)CCN1c1cccc(Br)c1,-10.13,-9.443
255,COc1ccccc1CNC(=O)c1cc(OC)c(N2CCN(C)CC2)c(OC)n1,-7.438,-7.428
